frame,emotion
1878,happy
1879,happy
1880,happy
1881,happy
1882,happy
1883,happy
1884,happy
1885,happy
1886,happy
1887,happy
1888,happy
1889,happy
1890,happy
1891,happy
1892,happy
1893,happy
1894,happy
1895,happy
1896,happy
1897,happy
1898,happy
1899,happy
1900,happy
1901,happy
1902,neutral
1903,neutral
1904,neutral
1905,neutral
1906,happy
1907,happy
1908,happy
1909,happy
1910,fear
1911,happy
1912,fear
1913,fear
1914,fear
1915,fear
1916,fear
1917,fear
1918,fear
1919,fear
1920,fear
1921,fear
1922,fear
1923,fear
1924,fear
1925,fear
1926,fear
1927,fear
1928,fear
1929,fear
1930,happy
1931,fear
1932,fear
1933,fear
1934,happy
1935,happy
1936,happy
1937,happy
1938,happy
1939,happy
1940,fear
1941,happy
1942,fear
1943,fear
1944,happy
1945,happy
1946,happy
1947,happy
1948,happy
1949,happy
1950,happy
1951,happy
1952,happy
1953,happy
1954,happy
1955,happy
1956,happy
1957,happy
1958,happy
1959,happy
1960,happy
1961,happy
1962,happy
1963,happy
1964,happy
1965,happy
1966,happy
1967,happy
1968,happy
1969,happy
1970,happy
1971,happy
1972,happy
1973,happy
1974,happy
1975,happy
1976,happy
1977,happy
1978,fear
1979,fear
1980,fear
1981,fear
1982,fear
1983,fear
1984,fear
1985,fear
1986,fear
1987,fear
1988,fear
1989,fear
1990,fear
1991,fear
1992,fear
1993,fear
1994,fear
1995,fear
1996,fear
1997,fear
1998,fear
1999,happy
2000,happy
2001,happy
2002,happy
2003,happy
2004,happy
2005,fear
2006,happy
2007,fear
2008,fear
2009,fear
2010,fear
2011,fear
2012,fear
2013,fear
2014,fear
2015,fear
2016,fear
2017,fear
2018,fear
2019,fear
2020,fear
2021,fear
2022,fear
2023,fear
2024,fear
2025,fear
2026,fear
2027,fear
2028,fear
2029,fear
2030,fear
2031,fear
2032,fear
2033,fear
2034,fear
2035,fear
2036,fear
2037,neutral
2038,neutral
2039,neutral
2040,fear
2041,fear
2042,fear
2043,fear
2044,fear
2045,fear
2046,fear
2047,fear
2048,neutral
2049,fear
2050,fear
2051,neutral
2052,fear
2053,fear
2054,fear
2055,fear
2056,fear
2057,fear
2058,fear
2059,fear
2060,fear
2061,fear
